Symbol
CYC1
SDHB
COQ7
SDHA
UQCRC1
COQ5
PDHA1
COQ9
MRPL12
ATP5D
COX5A
ISCA2
PMPCB
UQCRFS1
ATP5A1
OGDH
PDHB
UQCRC2
SDHD
MRPS35
UQCRQ
MRPL53
DBT
PDK4
MDH2
MRPS27
CS
GRPEL1
DLAT
LRPPRC
DLST
PDHX
GFM1
MPC2
NDUFS1
MRPL46
ATP5E
SLC25A3
MRPS23
FH
PMPCA
ATP5B
C6orf57
UQCR10
ISCA1
SUCLA2
COQ3
IARS2
MRPS15
IDH3A
COX11
ETFDH
TIMM10
MRPL34
MRPL2
BCKDHA
UQCRH
HIGD2A
ATP5O
ECHS1
LETMD1
COX6A1
COX15
AFG3L2
HADHA
ETFA
NDUFS7
CPT2
BCKDHB
IDH3B
LARS2
ACADS
LETM1
ATP5I
OPA1
AUH
SUCLG1
NDUFV2
COQ6
MRPL43
ABHD11
ATP5J
NDUFB8
LONP1
DLD
AIFM1
ECHDC3
APOOL
MRPL10
MRRF
NDUFS8
ACADM
IMMT
TIMM9
SLC25A4
SAMM50
NDUFS2
NDUFV1
ACO2
SUPV3L1
FECH
MTIF2
PHB
HIBCH
MRPS2
HSPA9
SURF1
PRDX3
GHITM
GUF1
TIMM13
LYRM4
MRPL16
MRPL40
IDH3G
SDHC
NDUFB5
SDHAF2
COQ10A
C21orf33
TXN2
MRPS18A
COX6C
NDUFB9
MTCH2
NDUFA6
SLC25A20
MRPL1
TIMM44
COX17
MINOS1
SOD2
COX6B1
VDAC1
CLPP
HADH
ACADL
ACAT1
MALSU1
CLPX
NDUFS4
MRPL4
C1QBP
PITRM1
UQCC1
MRPL55
MRM1
MECR
MRPL44
HSDL2
MRPS14
ABCB8
ATPAF2
NDUFA9
COA6
POLRMT
ISCU
RTN4IP1
OGDHL
ATP5C1
BCKDK
GFM2
NDUFAF4
SLC25A35
SLC25A11
TIMM8B
MCAT
IBA57
PHB2
DAP3
CMC2
SDHAF1
MRPS17
ADHFE1
NFS1
NDUFAF5
MRPL17
TACO1
MFN1
PPTC7
MRPL11
COX4I1
NDUFS6
MRPL13
OXCT1
COX5B
PDK2
ALAS1
MRPL33
MTO1
LIAS
NDUFA5
NDUFB6
MTX2
SUCLG2
FDX1
SLC25A1
MRPS28
TIMM50
VDAC2
SLC25A42
TOMM7
ECH1
PET112
BCS1L
ERAL1
CMC1
MRPL28
TSFM
FXN
NFU1
YARS2
MRPL21
ALDH4A1
TOMM40L
NDUFAF1
NDUFB10
ACADSB
MRPS9
ADCK3
ACADVL
COQ4
MRPL15
NDUFA2
MRPL24
HSPD1
NDUFS5
AK3
CYCS
MIPEP
LYRM7
CRAT
PCCB
MRPS7
MRPL3
PRODH
PCCA
MCCC1
MRPS12
CLPB
PDK1
MRPL49
COX7A2
TMEM126A
ECHDC2
HCCS
HIBADH
MRPL19
MRPL36
SLC25A30
BDH1
FARS2
ABCB7
MTX1
NDUFA7
TIMM17A
ALDH9A1
MRPS18C
MARS2
ALDH6A1
FDXR
GATC
TRAP1
ACAD8
ALDH2
PPIF
TIMM22
IVD
L2HGDH
ETHE1
MRPL20
SLC25A5
SLC25A12
MRPS21
TOMM22
ACAA2
MRPL30
DNAJA3
NDUFB2
MRPS34
ETFB
LACE1
ATPIF1
ATP5F1
COX7C
CHCHD3
COQ10B
ACSF3
POLDIP2
SLC25A10
SLC25A13
PDK3
ME3
MRPL22
IDH2
GCDH
MRPL47
PPA2
MRPL9
CHCHD10
WARS2
SLC25A19
CBR4
SMDT1
HAGH
COX7A1
MTG1
COX14
NDUFA12
MRPS16
MTERFD3
LYRM5
GPD2
NDUFA10
NDUFC2
SLIRP
ATP6
COX2
TIMM21
NDUFA8
GLS
NDUFB11
DHTKD1
FAHD2A
HSD17B8
HINT2
MRPS5
C6orf136
SPRYD4
LIPT2
DECR1
MRPS26
SLC25A15
NDUFV3
BPHL
STOML2
MSRB2
LACTB
TOMM40
SLC25A25
ADCK5
ACAD10
VWA8
CCDC90B
DNAJC11
ALKBH7
GLDC
MPC1L
THEM4
SSBP1
MRPL27
HSCB
MRPS10
AK4
ATAD3A
MRPL37
PTGES2
TXNRD2
ACSM5
CISD1
MRPL41
MARC2
MRPS6
MRPL23
SQRDL
SCO1
GCAT
MTHFD1L
ECI2
UQCRB
ATP5H
ATP5L
CCDC58
MCCC2
MCEE
MOCS1
MUT
SLC25A51
SPG7
ATP5G3
ATAD1
OXNAD1
MTG2
DARS2
MRPL51
PC
CLYBL
PNPLA8
MLYCD
PYURF
TIMM17B
MRPL32
SLC25A26
PRODH2
NIT2
FDX1L
ME2
TUFM
COX6A2
SLC30A9
TAMM41
TIMM23
RMND1
MFN2
DNLZ
CHCHD4
NDUFAB1
ACSM1
COA5
COQ2
PDSS2
EHHADH
NDUFS3
ABCB10
CKMT2
MRPS25
ACAD9
COX16
FAM210A
ACOT13
CPT1A
GK
DHRS4
PRELID2
CARS2
GBAS
NDUFB7
C19orf70
GLRX2
MRPS30
SCO2
HSD17B10
NARS2
RPUSD3
SUOX
SARDH
HRSP12
COX8A
SPR
MPV17
ZADH2
MRPL18
ALDH1B1
CHCHD1
TIMM8A
VDAC3
SLC25A24
MPC1
SLC25A22
SLC25A31
SLC25A18
TRNT1
IDE
GSTK1
VARS2
HSPE1
MRPL54
MRPL38
ICT1
MTCH1
TRIAP1
PTCD3
COX10
AKAP1
RNMTL1
AK2
TMEM70
NOA1
MCUR1
TMEM14C
NDUFC1
MRPL35
NDUFA3
PDSS1
SLC25A16
C7orf55
ACSM3
NDUFAF6
UCP1
SFXN1
GLRX5
PTRH1
MRPS11
XPNPEP3
PDP1
ECI1
SLC25A21
SLC25A29
SLC25A45
ACN9
SLMO2
SLC25A39
NDUFB3
REXO2
GATM
TIMM10B
SARS2
CHDH
MRPL57
C8orf82
EARS2
GRHPR
MTFMT
PTCD2
ECHDC1
HARS2
NDUFA4
NDUFA13
APOA1BP
TMEM11
SELO
NAGS
HSD17B4
NDUFAF7
OAT
MRPL50
COX7B
RARS2
OXLD1
LACTB2
NDUFA11
AURKAIP1
CHCHD7
SHMT2
MTHFD2
RMDN1
CPS1
MRPL14
C6orf203
RDH13
TRMT2B
MRPS24
COA3
GSR
ENDOG
BCAT2
TEFM
ACSF2
TRMU
MRPS22
LAP3
GLUD1
HMGCL
FHIT
MRPS33
NUBPL
LYRM2
MPV17L
GADD45GIP1
TFAM
ALDH18A1
OXSM
CCBL2
TARS2
TBRG4
TMEM65
ROMO1
PRDX5
DNAJC15
C2orf47
HIGD1A
C16orf91
RHOT2
SLC25A44
HAO2
OXA1L
SLC25A46
RDH14
C14orf2
CA5B
COASY
CISD3
GSTZ1
COX6B2
GLOD4
ACAA1
CROT
PDF
COX19
AMT
PDPR
NLN
BOLA1
ALAS2
GRPEL2
ALDH7A1
CECR5
GFER
IMMP2L
COX4I2
MRPL39
AADAT
FUNDC2
LYPLA1
PDHA2
MTRF1L
GTPBP3
MTHFD2L
YME1L1
ACOT2
APOPT1
MMAB
PPOX
ABCD3
SIRT3
LDHD
MRPL45
C12orf65
IMMP1L
POLG
ATPAF1
BLOC1S1
ALDH1L2
COX18
CPOX
NNT
C17orf89
XRCC6BP1
DCAKD
ATP5J2
SLC16A1
SFXN3
LONP2
AASS
DIABLO
COX8C
PXMP2
AGXT2
GLS2
APOO
ACAD11
C5orf63
HOGA1
TTC19
NGRN
TCAIM
GCSH
SIRT5
GPT2
TOMM6
FAM162A
ABCB6
MACROD1
TST
COX1
MTFR1L
SDR39U1
DMGDH
SLC25A14
SLMO1
SLC25A17
CHCHD5
TOMM70A
NIT1
FAHD1
MCU
CYP27A1
ND2
ND4
ND5
MDH1
KIAA0141
FASTKD1
MRPS31
ALDH1L1
PTCD1
HADHB
TRIT1
CRLS1
GLYCTK
SLC25A32
AARS2
EXOG
CHCHD2
KMO
SFXN5
ELAC2
GPX1
CPT1B
ME1
FIS1
PRELID1
UCP3
SLC25A27
SLC25A40
SLC25A23
HEMK1
SLC25A36
OMA1
LETM2
DHRS1
STOM
METTL5
MSRA
NUDT8
NMNAT3
SLC25A38
MPV17L2
ACLY
ABCD2
FLAD1
LIPT1
C14orf159
PCK2
NADK2
HK2
MPST
NUDT13
ACACA
ABAT
HMGCS2
ALDH5A1
CKMT1A
PISD
NDUFB4
UQCR11
FAM136A
TOMM5
HTRA2
GPI
NDUFA1
CYTB
GUK1
D2HGDH
OPA3
AKR1B10
PHYH
NDUFAF2
ECSIT
PARL
MRPL42
DNAJC4
PAM16
ALDH3A2
ACSL6
TYSND1
MRS2
ABHD10
HINT3
PXMP4
OSGEPL1
NUDT2
CYB5B
GRSF1
MRPS18B
DNAJC30
CAT
DGUOK
ACOT9
ACSS1
RFK
STARD7
CHPT1
ATP8
TIMMDC1
SPATA19
HTATIP2
AKR7A2
DUT
KIAA0100
COX3
DHRS7B
MTRF1
TMEM143
NT5M
RHOT1
NME4
MTHFS
C19orf52
PNPO
IDH1
MICU2
PCBD2
QRSL1
